service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
PROJET2025-NIsola-Semaine-20-1101100-NIso,1,1,0,1,1,0,0,20260112,20260306
PROJET2025-NIsola-Semaine-21-NIso,1,1,1,1,1,0,0,20260114,20260304
JANV2026-37-Samedi-34-37,0,0,0,0,0,1,0,20260110,20260307
PROJET2025-54-Samedi-14-54,0,0,0,0,0,1,0,20260110,20260307
PROJET2025-54-Dimanche-14-54,0,0,0,0,0,0,1,20260111,20260308
JANV2026-06-Samedi-01-06,0,0,0,0,0,1,0,20260110,20260307
JANV2026-06-Dimanche-01-06,0,0,0,0,0,0,1,20260111,20260308
chouette:TimeTable:0fef262d-4f40-4e67-a57d-2c93586ed6a7:LOC,1,0,0,0,0,0,0,20260112,20260308
chouette:TimeTable:8184f8bf-5d13-4787-9d7d-3ca2605dedb5:LOC,0,1,1,1,1,1,0,20260107,20260307
JANV2026-57-Dimanche-06-57,0,0,0,0,0,0,1,20260111,20260308
JANV2026-57-Samedi-06-57,0,0,0,0,0,1,0,20260110,20260307
chouette:TimeTable:09bdc51a-99de-4e15-a92a-2e1207591714:LOC,1,0,0,0,0,0,0,20260112,20260308
chouette:TimeTable:23d4ea45-30c1-4233-9941-7bb190ce4cca:LOC,0,1,1,1,1,1,0,20260107,20260307
PROJET2025-44-Dimanche-89-44,0,0,0,0,0,0,1,20260111,20260308
PROJET2025-44-Samedi-89-44,0,0,0,0,0,1,0,20260110,20260307
JANV2026-98-Dimanche-06-98,0,0,0,0,0,0,1,20260111,20260308
JANV2026-98-Samedi-08-98,0,0,0,0,0,1,0,20260110,20260307
PROJET2025-60-Dimanche-07-60,0,0,0,0,0,0,1,20260111,20260308
PROJET2025-60-Samedi-07-60,0,0,0,0,0,1,0,20260110,20260307
JANV2026-17-Samedi-36-17,0,0,0,0,0,1,0,20260110,20260307
JANV2026-17-Mercredi-35-17,0,0,1,0,0,0,0,20260107,20260304
JANV2026-17-Dimanche-36-17,0,0,0,0,0,0,1,20260111,20260308
PROJET2026-84-Samedi-05-84,0,0,0,0,0,1,0,20260110,20260307
JANV2026-20-Samedi-37-20,0,0,0,0,0,1,0,20260110,20260307
JANV2026-20-Dimanche-41-20,0,0,0,0,0,0,1,20260111,20260308
