service_id,date,exception_type
PROJET2024-88-Semaine-83-1101100-88,20260227,2
PROJET2026-50-Semaine-08-50,20260216,2
PROJET2026-50-Semaine-08-50,20260217,2
PROJET2026-50-Semaine-08-50,20260218,2
PROJET2026-50-Semaine-08-50,20260219,2
PROJET2026-50-Semaine-08-50,20260220,2
PROJET2026-50-Semaine-08-50,20260223,2
PROJET2026-50-Semaine-08-50,20260224,2
PROJET2026-50-Semaine-08-50,20260225,2
PROJET2026-50-Semaine-08-50,20260226,2
PROJET2026-50-Semaine-08-50,20260227,2
PROJET2025-67-Semaine-08-1101100-67,20260216,2
PROJET2025-67-Semaine-08-1101100-67,20260217,2
PROJET2025-67-Semaine-08-1101100-67,20260219,2
PROJET2025-67-Semaine-08-1101100-67,20260220,2
PROJET2025-67-Semaine-08-1101100-67,20260223,2
PROJET2025-67-Semaine-08-1101100-67,20260224,2
PROJET2025-67-Semaine-08-1101100-67,20260226,2
PROJET2025-67-Semaine-08-1101100-67,20260227,2
PROJET2025-86-Semaine-07-1101100-86,20260216,2
PROJET2025-86-Semaine-07-1101100-86,20260217,2
PROJET2025-86-Semaine-07-1101100-86,20260219,2
PROJET2025-86-Semaine-07-1101100-86,20260220,2
PROJET2025-86-Semaine-07-1101100-86,20260223,2
PROJET2025-86-Semaine-07-1101100-86,20260224,2
PROJET2025-86-Semaine-07-1101100-86,20260226,2
PROJET2025-86-Semaine-07-1101100-86,20260227,2
PROJET2026-75D-Semaine-08-75D,20260216,2
PROJET2026-75D-Semaine-08-75D,20260217,2
PROJET2026-75D-Semaine-08-75D,20260218,2
PROJET2026-75D-Semaine-08-75D,20260219,2
PROJET2026-75D-Semaine-08-75D,20260220,2
PROJET2026-75D-Semaine-08-75D,20260223,2
PROJET2026-75D-Semaine-08-75D,20260224,2
PROJET2026-75D-Semaine-08-75D,20260225,2
PROJET2026-75D-Semaine-08-75D,20260226,2
PROJET2026-75D-Semaine-08-75D,20260227,2
PROJET2026-C-L-Ma-J-V-05-C,20260216,2
PROJET2026-C-L-Ma-J-V-05-C,20260217,2
PROJET2026-C-L-Ma-J-V-05-C,20260219,2
PROJET2026-C-L-Ma-J-V-05-C,20260220,2
PROJET2026-C-L-Ma-J-V-05-C,20260223,2
PROJET2026-C-L-Ma-J-V-05-C,20260224,2
PROJET2026-C-L-Ma-J-V-05-C,20260226,2
PROJET2026-C-L-Ma-J-V-05-C,20260227,2
PROJET2025-77-Semaine-05-1101100-77,20260216,2
PROJET2025-77-Semaine-05-1101100-77,20260217,2
PROJET2025-77-Semaine-05-1101100-77,20260219,2
PROJET2025-77-Semaine-05-1101100-77,20260220,2
PROJET2025-77-Semaine-05-1101100-77,20260223,2
PROJET2025-77-Semaine-05-1101100-77,20260224,2
PROJET2025-77-Semaine-05-1101100-77,20260226,2
PROJET2025-77-Semaine-05-1101100-77,20260227,2
PROJET2025-39-Semaine-04-0101100-39,20260217,2
PROJET2025-39-Semaine-04-0101100-39,20260219,2
PROJET2025-39-Semaine-04-0101100-39,20260220,2
PROJET2025-39-Semaine-04-0101100-39,20260224,2
PROJET2025-39-Semaine-04-0101100-39,20260226,2
PROJET2025-39-Semaine-04-0101100-39,20260227,2
